Cluster,Pergunta,Palavra chave,Score
8,fazer alteracao limite operacional cambio cliente,operacional,0.6149259758614736
21,quais coberturas seguro auto,seguro,0.6493747535505315
26,cancelar seguro protegido cheque especial,seguro,0.5699184548693033
71,solicitacao estorno seguro cartao protegido,solicitacao,0.632155415299251
67,endosso seguro carro,seguro,0.7765167908663235
47,cadastrar cliente pessoa juridica operar cambio,pessoa,0.47683229464403803
4,pode usar cpf celular,usar,0.6417505978584225
56,cliente atrasando mes seguro fica inativo,seguro,0.4948268357193478
72,carencia morte natural seguro vida,vida,0.5908818525911607
39,faz autorizar seguro internet banking,seguro,0.5436078121773052
9,enviar ordem cambio,ordem,0.7745085899098744
11,fazer alteracao seguro patrimonial,seguro,0.6207873448875408
48,passo passo envio cambio app,passo,0.8375597110736004
72,carencia seguro vida,vida,0.8778770598068079
17,realizar endosso seguro,seguro,0.7202273220540799
9,consultar liberacao ordem pagamento cambio,pagamento,0.6111556634313836
12,consultar seguro cartao,seguro,0.7468950942842963
50,preciso imprimir proposta seguro,seguro,0.6846704220289171
74,recebimento cambio fechamento,recebimento,0.6865852112653257
6,abrir chamado seguro,seguro,0.7289682223207494
21,quais beneficios assistencia horas seguro auto,seguro,0.5527662031434635
4,efetuo vinculo cartao adicional cpf cliente,vinculo,0.5513057273416837
56,seguro indevido contestar,seguro,0.7256079694798279
59,cancelamento seguro debitado,seguro,0.7699376546064074
23,valor maximo valor segurado seguro,valor,0.7099521335037267
56,alteracao dependente seguro,seguro,0.7835501572395333
6,abrir chamado sobre seguro nao debitado,sobre,0.5306895812010436
69,solicitar segunda via apolice seguro,via,0.5447048874207087
1,regras seguro vida empresa,vida,0.7620162551052805
69,solicitar apolice seguro auto,solicitar,0.6865262607234203
76,assistencias seguro residencial,seguro,0.8303396209125387
33,seguro auto central atendimento,seguro,0.6791457588961599
50,consultar proposta seguro cancelada,seguro,0.7227507218962439
56,cancelar seguro cartao credito,seguro,0.67516926762099
30,sinistro,sinistro,1.0
74,cadastarar cambio,cambio,0.9426503083061593
49,contratar seguro vida autonomo,vida,0.8216497320771827
56,cotar seguro agricola,seguro,0.7147161323243633
59,cancelamento seguro vida socio,vida,0.74413090104277
74,liberacao investimento contrato cambio,liberacao,0.6048852021004917
36,seguro cliente nao debitando,seguro,0.7456774946532898
74,fechamento cambio regularizado,regularizado,0.7850592454809251
56,cancelar seguro,seguro,0.9333222901041052
56,cancelar seguro feito previdencia,seguro,0.6874958103891142
11,contratar seguro patrimonial,seguro,0.7394068164945777
22,seguro protecao vida acidente pessoais,vida,0.6651485197804468
22,quais coberturas seguro acidentes pessoais,seguro,0.5110389735023474
24,cartao credito seguro nao correntista,seguro,0.7121423885714475
56,seguro auto liberty convencional,seguro,0.7302807833357421
2,consulta fechamento cambio,fechamento,0.6865852112653257
9,tarifa cambio ordem pagamento,tarifa,0.637210690315917
72,cancelar seguro vida,vida,0.7336339785205742
47,cadastrar cliente operar cambio,operar,0.6253230458000211
30,seguro protecao residencial sinistro instalacao eletrica cobre,sinistro,0.49613405751075695
18,contratar seguro viagem,viagem,0.7277396364321749
1,cancela seguro vida empresa,vida,0.8086484333833746
74,book natureza cambio,natureza,0.7032541010236706
22,quais beneficios seguro acidentes pessoais,seguro,0.5690624806537773
41,cancelar seguro pessoa fisica,seguro,0.7115267450810884
4,trocar cpf documentos adicionais,trocar,0.5748729404345069
17,realizar cambio aplicativo,realizar,0.7863240593806707
9,recebimento ordem cambio,recebimento,0.7373052454230759
62,desbloquear cartao bloqueio irregularidade cpf junto receita federal,receita,0.41985934500198563
50,fazer proposta seguro auto cancelada,seguro,0.6796730194916315
14,via apolice seguro residencial,via,0.6460729918479864
4,limite cpf desconto cheque,limite,0.5989759218483138
56,seguro dental cliente,seguro,0.8801493810811901
67,endosso seguro patrimonial,seguro,0.7063377332283042
56,cancelar seguro empresarial generico,seguro,0.6770854273575453
11,cancelamento seguro patrimonial,seguro,0.7573189673114029
59,cancelamento seguro,seguro,0.9440855305366559
30,declaro sinistro,sinistro,0.8493771164040665
9,ordem pagamento cambio,pagamento,0.6868995785962037
13,cancelar seguro cartao protegido,seguro,0.6134311820132593
22,seguro acidentes pessoais sob medida,sob,0.5536299707580655
48,envio remessa seguro,seguro,0.7096897011811241
69,solicitar via proposta adesao seguro cartao protegido,via,0.5147534795569607
76,assistencias seguro residencial,seguro,0.8303396209125387
12,swift cambio consultar,swift,0.8159788244814167
33,central atendimento seguro cancelamento,seguro,0.6636583340622227
46,taxa iof envio remessa cambio,taxa,0.5534549066116051
74,fechamento cambio internet,internet,0.7552629854072797
68,funciona campanha novembro azul seguro vida,vida,0.5032611731183615
56,trata seguro previdencia,trata,0.7410465677536694
9,enviar ordem cambio procuracao,procuracao,0.6123289123960081
56,procedimento reagendar seguro auto,seguro,0.6742367562023569
72,carencia seguro vida,vida,0.8778770598068079
45,consultar classe bonus seguro auto,seguro,0.6355654397588738
6,abertura chamado seguros,seguros,0.6269744305384533
8,fazer cancelamento seguro feito junto previdencia,seguro,0.5345751937367966
11,alterar endereco seguro patrimonial,seguro,0.6553282477859477
34,liquidacao ordem cambio,ordem,0.7562818955452428
74,servicos cambio,servicos,0.9277112926143989
12,consultar canal contratado seguro,seguro,0.6521283467394878
78,reagendar vistoria seguro auto,vistoria,0.7076216995565129
48,envio envio cambio,envio,0.9672345561517304
72,teimoninha seguro vida,vida,0.9185030012381201
12,consultar cambio cliente recebeu,recebeu,0.7555989753053562
42,tarifa cobrada operacoes cambio,tarifa,0.6035461753494391
74,fechamento cambio,fechamento,0.8936446173074342
74,fomulario cambio,fomulario,0.9426503083061593
56,estornar seguro cartao,seguro,0.8847164673665526
56,cancelar seguro,seguro,0.9333222901041052
18,contratar seguro viagem agencia,viagem,0.7254472632864152
74,recebimento cambio,recebimento,0.9031990598522613
3,cancelamento seguro cheque protegido,seguro,0.6314253968005333
48,envio seguro,seguro,0.9666173627049752
4,cpf outro vinculado,vinculado,0.6714191997590658
75,fazer transferencia investimentos cpf,transferencia,0.6163921528174843
9,recebimento ordem pagamento cambio,recebimento,0.6214299849838573
76,seguro residencial tamanho imovel,tamanho,0.6607966196114315
13,seguro cartao protegido completo,seguro,0.7715560256747127
6,abrir chamado cancelar seguro vida,vida,0.6286747450059311
50,consultar proposta seguro,seguro,0.7580708607250187
49,contratar seguro caminhao,seguro,0.8557028800342815
23,valor seguro cartao,valor,0.8048777891104619
75,fazer cambio,fazer,0.8390180387621189
23,compreende cobertura roubo furto seguro auto,seguro,0.5306124954215907
74,emissao cambio,emissao,0.9177817981068
56,refere cobranca seguro previdencia,seguro,0.6314639430243129
78,consultar solicitacao vistoria seguro auto,vistoria,0.6147006380704019
11,consigo incluir outdoor seguro patrimonial,seguro,0.5897425540178517
74,liberacao investimento bloqueado operacao cambio,operacao,0.5554675183220885
76,saber calculo inadimplencia seguro residencial,seguro,0.599559456820529
48,verificar status envio solictacao cambio areas,verificar,0.5074807191437976
59,cancelamento seguro residencial,seguro,0.7095270424941977
56,franquias seguro patriminial empresarial,seguro,0.6299787966574272
22,protecao seguro acidentes pessoais,seguro,0.5743917718498838
50,cancelar proposta seguros,seguros,0.6725674134600004
69,segunda via endosso seguro,via,0.6310731498079225
60,consigo transferir investimentos cpf,transferir,0.5569059901953
13,cancelar seguro cartao protegido,seguro,0.6134311820132593
21,quais coberturas garantia seguro protecao residencial,seguro,0.5701668201681096
79,imprimir apolice seguro residencial,seguro,0.6392683013412886
59,cancelamento seguros,seguros,0.7360463260303192
72,seguro vida pode quitar,vida,0.748759564606971
58,verificar proposta seguro,verificar,0.7415526793431807
37,central seguro auto funcinario,seguro,0.7608420802889218
60,faco transferir investimentos cpf primeiro segundo titular,transferir,0.43723959009874747
31,operacao cambio garantia investimento,operacao,0.6155820577300614
44,acionar seguro cartao protegido,seguro,0.6908604382801904
3,cancelamento seguro cheque protegido,seguro,0.6314253968005333
18,solicitar seguro viagem cartao,viagem,0.681072595220557
8,fazer cancelamento seguro vida,vida,0.6323547186146504
1,endosso seguro vida empresa,vida,0.6389942805164593
56,franquia seguro patromonial,seguro,0.7200843433269511
56,publico alvo seguro,seguro,0.7003685083033729
